16-10-24 02:46:29,90,9
16-10-24 02:47:29,90,9
16-10-24 02:48:30,88,10
16-10-24 02:56:37,89,9
16-10-24 02:57:37,89,9
16-10-24 02:58:37,88,9
16-10-24 02:59:37,89,9
16-10-24 03:00:37,89,9
16-10-24 03:01:38,89,9
16-10-24 03:02:38,87,10
16-10-24 03:03:38,89,9
16-10-24 03:04:38,89,9
16-10-24 03:05:38,88,9
16-10-24 03:06:38,88,9
16-10-24 03:07:38,88,9
16-10-24 03:08:39,88,9
16-10-24 03:09:39,88,9
16-10-24 03:10:39,88,9
16-10-24 03:11:39,88,9
16-10-24 03:12:40,88,9
16-10-24 03:13:40,88,8
16-10-24 03:14:40,88,9
16-10-24 03:15:40,86,10
16-10-24 03:16:40,88,9
16-10-24 03:17:40,88,9
16-10-24 03:18:41,88,9
16-10-24 03:19:41,88,9
16-10-24 03:20:41,88,9
16-10-24 03:21:41,88,9
16-10-24 03:22:41,87,9
16-10-24 03:23:41,87,9
16-10-24 03:24:42,87,9
16-10-24 03:25:42,87,9
16-10-24 03:26:42,85,10
16-10-24 03:27:42,87,9
16-10-24 03:28:42,87,9
16-10-24 03:29:42,86,9
16-10-24 03:30:43,87,9
16-10-24 03:31:43,86,10
16-10-24 03:32:43,85,10
16-10-24 03:33:43,87,9
16-10-24 03:34:43,87,9
16-10-24 03:35:43,87,9
16-10-24 03:36:44,87,9
16-10-24 03:37:44,84,10
16-10-24 03:38:44,86,9
16-10-24 03:39:44,85,9
16-10-24 03:40:44,86,9
16-10-24 03:41:44,86,9
16-10-24 03:46:19,85,9
16-10-24 03:47:19,85,8
16-10-24 03:48:48,84,9
16-10-24 03:49:48,84,9
16-10-24 03:53:02,82,8
16-10-24 03:54:02,82,8
16-10-24 03:55:02,81,8
16-10-24 03:56:02,81,8
16-10-24 03:58:47,81,9
16-10-24 04:33:48,81,9
16-10-24 04:34:49,80,9
16-10-24 04:35:49,78,10
16-10-24 04:39:55,79,9
16-10-24 04:45:00,78,9
16-10-24 04:47:55,78,8
16-10-24 04:48:55,78,8
16-10-24 04:51:51,77,8
16-10-24 04:56:09,76,8
16-10-24 03:46:21,68,8
16-10-24 03:48:25,66,9
16-10-24 03:50:33,66,9
16-10-24 03:52:34,65,8
16-10-24 03:53:34,65,8
16-10-24 03:54:34,64,9
16-10-24 03:55:34,64,9
16-10-24 03:56:35,63,9
16-10-24 03:57:35,64,8
16-10-24 03:58:35,63,8
16-10-24 03:59:35,62,9
16-10-24 04:00:35,63,8
16-10-24 04:02:25,62,9
16-10-24 04:03:25,62,9
16-10-24 04:04:26,59,10
16-10-24 04:05:26,61,9
16-10-24 04:06:26,61,8
16-10-24 04:07:26,60,9
16-10-24 04:08:26,60,9
16-10-24 04:09:26,60,9
16-10-24 04:10:26,60,9
16-10-24 04:11:27,60,9
16-10-24 04:12:27,60,8
16-10-24 04:13:27,59,8
16-10-24 04:14:27,59,8
16-10-24 04:15:27,59,9
16-10-24 04:17:52,58,9
16-10-24 04:19:17,58,9
16-10-24 04:20:17,58,8
16-10-24 04:27:24,57,8
16-10-24 04:28:24,57,8
16-10-24 04:29:25,57,8
16-10-24 04:30:25,57,8
16-10-24 06:08:49,53,10
16-10-24 06:09:49,53,10
16-10-24 06:10:50,56,9
16-10-24 03:47:12,56,8
16-10-24 03:48:12,56,8
16-10-24 03:53:21,56,8
16-10-24 03:45:07,54,9
16-10-24 06:31:34,39,15
16-10-24 06:32:34,54,8
16-10-24 06:33:34,52,9
16-10-24 06:34:34,50,10
16-10-24 06:38:59,54,9
16-10-24 06:39:59,55,8
16-10-24 06:41:37,54,9
16-10-24 06:46:36,47,12
16-10-24 06:54:04,52,9
16-10-24 06:56:24,53,8
16-10-24 06:59:49,50,9
16-10-24 07:00:49,52,8
16-10-24 07:01:49,49,10
16-10-24 07:02:50,50,9
16-10-24 07:03:50,51,8
16-10-24 07:13:42,50,9
16-10-24 07:14:42,50,8
16-10-24 07:18:54,48,9
16-10-24 07:25:07,48,8
16-10-24 07:32:01,29,16
16-10-24 07:34:46,45,8
16-10-24 07:35:46,45,8
16-10-24 07:36:46,44,8
16-10-24 07:38:10,44,8
16-10-24 07:46:32,26,16
16-10-24 07:49:19,25,16
16-10-24 07:54:28,26,15
16-10-24 08:48:56,83,12
16-10-24 09:18:37,76,15
